qua_id,vel_id,niveau_certification,date_visite,url_rapport,date_created,date_updated,source,freshness
d0c9a852-e384-456a-8183-8f2593bdd466,2d67a853-f0f5-49c7-94ac-724b06f78b3f,Certifié,2022-02-10,https://www.has-sante.fr/jcms/c_30001,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
d0c9a852-e384-456a-8183-8f2593bdd466,5df34073-ef47-4801-b458-93fc1520e321,Certifié,2022-02-10,https://www.has-sante.fr/jcms/c_30001,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
bc9c51e3-06b1-41b5-97fc-48da179c9b0f,a593691d-77cd-4b77-ab2e-68dc82c3c634,Certifié avec mention,2023-03-08,https://www.has-sante.fr/jcms/c_30002,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
bc9c51e3-06b1-41b5-97fc-48da179c9b0f,9606100c-4113-4d22-aa80-ddbb0fccc2f9,Certifié avec mention,2023-03-08,https://www.has-sante.fr/jcms/c_30002,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
006dbc92-8186-4480-a84d-088296c2c934,2bf442d2-9087-4984-9a18-efd17164ade9,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30003,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
006dbc92-8186-4480-a84d-088296c2c934,e4d22d12-1e59-4c21-8c78-7e980386e769,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30003,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
935ce9ae-a1d8-4d04-bb5f-fe387d112bfa,aa05609a-b489-43a7-9f3b-ac70f616c3df,Certifié,2021-12-14,https://www.has-sante.fr/jcms/c_30004,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
935ce9ae-a1d8-4d04-bb5f-fe387d112bfa,705a0b7f-fb5a-4d2a-8375-2e3df6f7e10f,Certifié,2021-12-14,https://www.has-sante.fr/jcms/c_30004,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
360fee5d-9936-4faf-aa43-69cf8a082cef,bbfd59fd-70ab-422d-928f-88fd80182c8c,Certifié,2021-12-14,https://www.has-sante.fr/jcms/c_30004,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
360fee5d-9936-4faf-aa43-69cf8a082cef,288bddd8-381f-48ba-9083-140299d089f4,Certifié,2021-12-14,https://www.has-sante.fr/jcms/c_30004,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
3d1ce9e8-c24a-45c5-8353-9d9ccf2bb2f8,afbbef12-9d0b-43e3-9c32-d80a3e305747,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30005,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
3d1ce9e8-c24a-45c5-8353-9d9ccf2bb2f8,4edad01d-6869-434c-9507-44713ea8ffde,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30005,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
6411a0cf-f0b7-4eba-8afe-e6e875a4806d,b08bae8f-0c57-4efc-bba3-3ff3d6d2c46c,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30005,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
6411a0cf-f0b7-4eba-8afe-e6e875a4806d,015a598f-1418-4129-9f24-2c1c34413b7f,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30005,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
6ad8f2eb-a58d-490f-905d-3b546516227b,b39cee32-5319-4e67-a1e4-fb668cc6946e,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30005,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
6ad8f2eb-a58d-490f-905d-3b546516227b,faa95a30-5826-46dc-9c14-7db597ea3a24,Certifié,2022-03-31,https://www.has-sante.fr/jcms/c_30005,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
c0967226-c14b-4fee-b884-79f6dfd05fe0,8dbfc9b6-64a8-4131-a283-d4a9708d4ad6,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
c0967226-c14b-4fee-b884-79f6dfd05fe0,e7e58a0a-7c82-4dad-b979-98e516ce8cae,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
bad5a756-ebaf-4a9f-a90b-064f6a0502eb,c74739ee-b370-452c-8f84-a435f47c1970,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
bad5a756-ebaf-4a9f-a90b-064f6a0502eb,8e059f14-467c-4133-b66d-e53d91888aa0,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
2a1054b4-e261-40d5-b2b3-a25cd8c3d04e,fc5b8cc0-62bf-44ba-80fc-644b4b047090,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
2a1054b4-e261-40d5-b2b3-a25cd8c3d04e,75933db0-d3fc-42db-8e9c-09c8f29902e9,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
3c5a5d3a-c153-467c-a8f1-1ad6c458ce2f,334e9031-6793-4c83-926f-c0ac408b8137,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
3c5a5d3a-c153-467c-a8f1-1ad6c458ce2f,d97b4458-381e-43ee-95e0-621232f882e9,Certifié,2022-06-15,https://www.has-sante.fr/jcms/c_30007,2026-01-21 17:11:07.494073,2026-01-21 17:11:07.494298,HAS,Bisannuelle
